"City","S-JTSK – X","S-JTSK – Y"
"Praha",744379,1043261
"Aš",898722,1004635
"Brno",597475,1160280
"Broumov",600909,1005118
"Český Krumlov",769683,1181970
"Zlín",521001,1164278
"Hradec Králové",640890,1041574
"Chomutov",807647,991033
"Jablunkov",438115,1132394
"Jeseník",543739,1050327
"Jihlava",669593,1129605
"Liberec",688543,974030
"Mikulov",601034,1204635
"Olomouc",547164,1120779
"Ostrava",470570,1101813
"Písek",774028,1125213
"Plzeň",823136,1069304
"Rumburk",720768,949190
"Sušice",820968,1127744
"Tachov ",874453,1055616
