"Name","X","Y"
"",1000,0
"",979,41
"",957,80
"",933,117
"",909,153
"",884,187
"",858,220
"",831,250
"",803,279
"",775,306
"",746,332
"",717,356
"",687,378
"",657,398
"",627,417
"",597,434
"",567,449
"",536,463
"",506,475
"",476,486
"",446,496
"",417,504
"",387,510
"",358,515
"",329,519
"",301,522
"",273,524
"",246,524
"",220,523
"",194,521
"",168,518
"",143,514
"",119,510
"",96,504
"",73,497
"",51,490
"",30,482
"",9,473
"",-9,463
"",-28,453
"",-46,443
"",-63,432
"",-80,420
"",-95,408
"",-110,395
"",-124,383
"",-137,370
"",-149,356
"",-161,343
"",-172,329
"",-182,315
"",-191,301
"",-199,287
"",-207,273
"",-214,258
"",-220,244
"",-225,230
"",-230,216
"",-234,202
"",-237,188
"",-240,174
"",-242,161
"",-244,148
"",-245,134
"",-245,122
"",-245,109
"",-245,97
"",-243,84
"",-242,73
"",-240,61
"",-237,50
"",-234,39
"",-231,29
"",-228,19
"",-224,9
"",-219,0
"",-215,-9
"",-210,-17
"",-205,-25
"",-199,-33
"",-194,-41
"",-188,-48
"",-182,-55
"",-176,-61
"",-170,-67
"",-164,-73
"",-157,-78
"",-151,-83
"",-144,-87
"",-137,-91
"",-131,-95
"",-124,-98
"",-118,-101
"",-111,-104
"",-104,-106
"",-98,-109
"",-91,-110
"",-85,-112
"",-78,-113
"",-72,-114
"",-66,-114
"",-60,-115
"",-54,-115
"",-48,-115
"",-42,-114
"",-37,-114
"",-31,-113
"",-26,-112
"",-21,-110
"",-16,-109
"",-11,-107
"",-6,-105
"",-2,-104
"",2,-101
"",6,-99
"",10,-97
"",14,-94
"",17,-92
"",21,-89
"",24,-87
"",27,-84
"",30,-81
"",32,-78
"",35,-75
"",37,-72
"",40,-69
"",42,-66
"",43,-63
"",45,-59
"",47,-56
"",48,-53
"",49,-50
"",50,-47
"",51,-44
"",52,-41
"",52,-38
"",53,-35
"",53,-32
"",53,-29
"",54,-26
"",53,-24
"",53,-21
"",53,-18
"",53,-16
"",52,-13
"",52,-11
"",51,-8
"",50,-6
"",50,-4
"",49,-2
"",48,0
"",47,1
"",46,3
"",45,5
"",43,7
"",42,9
"",41,10
"",40,12
"",38,13
"",37,14
"",36,16
"",34,17
"",33,18
"",31,19
"",30,20
"",28,20
"",27,21
"",25,22
"",24,22
"",23,23
"",21,23
"",20,24
"",18,24
"",17,24
"",15,25
"",14,25
"",13,25
"",11,25
"",10,25
"",9,25
"",8,25
"",6,24
"",5,24
"",4,24
"",3,24
"",2,23
"",1,23
"",0,22
"",0,22
"",-1,21
"",-2,21
"",-3,20
"",-3,20
"",-4,19
"",-5,19
"",-6,18
"",-6,17
"",-7,17
"",-7,16
"",-8,15
"",-8,15
"",-9,14
"",-9,13
"",-10,13
"",-10,12
"",-10,11
"",-10,11
"",-11,10
"",-11,9
"",-11,9
"",-11,8
"",-11,7
"",-11,7
"",-11,6
"",-11,5
"",-11,5
"",-11,4
"",-11,4
"",-11,3
"",-11,2
"",-11,2
"",-11,1
"",-11,1
"",-11,0
"",-10,0
"",-10,0
"",-10,0
"",-10,0
"",-9,-1
"",-9,-1
"",-9,-1
"",-9,-2
"",-8,-2
"",-8,-2
"",-8,-3
"",-7,-3
"",-7,-3
"",-7,-4
"",-6,-4
"",-6,-4
"",-6,-4
"",-6,-4
"",-5,-4
"",-5,-5
"",-5,-5
"",-4,-5
"",-4,-5
"",-4,-5
"",-3,-5
"",-3,-5
"",-3,-5
"",-2,-5
"",-2,-5
"",-2,-5
"",-2,-5
"",-1,-5
"",-1,-5
"",-1,-5
"",-1,-5
"",0,-5
"",0,-5
"",0,-5
"",0,-5
